year,month,temp_max_mean,temp_min_mean,rain_sum,humidity_mean,radiation_sum,soil_0_7_mean,soil_7_28_mean
1990,1,28.138709677419353,17.92258064516129,0.6000000000000001,69.90322580645162,557.04,0.1991962365591398,0.2907163978494623
1990,2,30.160714285714285,19.125,1.3,66.10714285714286,570.39,0.19928125,0.2824285714285714
1990,3,31.6,20.361290322580647,10.7,65.87096774193549,686.3,0.2052647849462365,0.2789314516129033
1990,4,31.3,22.14,78.9,71.83333333333333,639.24,0.3018930555555555,0.3117611111111111
1990,5,30.241935483870968,22.206451612903226,200.8,77.2258064516129,587.53,0.3801021505376344,0.3724314516129032
1990,6,27.14333333333333,21.95,500.8,85.76666666666667,440.98,0.47403749999999995,0.4738236111111111
1990,7,27.6,21.55483870967742,182.3,83.74193548387096,546.6,0.4687298387096774,0.4728575268817204
1990,8,26.780645161290323,21.429032258064513,292.9,85.90322580645162,476.53,0.4717755376344086,0.4759112903225806
1990,9,27.396666666666665,21.186666666666667,181.5,84.9,489.87,0.4773861111111111,0.4833027777777777
1990,10,26.461290322580645,20.683870967741935,190.9,85.93548387096774,459.72,0.4592244623655914,0.470258064516129
1990,11,25.35,19.243333333333332,172.1,84.66666666666667,408.99,0.43548888888888887,0.4454097222222222
1990,12,24.258064516129032,18.061290322580643,9.5,81.45161290322581,408.24,0.3109704301075269,0.37369623655913975
1991,1,26.816129032258065,17.94193548387097,3.0,75.58064516129032,528.69,0.21258602150537628,0.3131545698924731
1991,2,28.110714285714288,18.360714285714288,3.1,69.82142857142857,522.92,0.20381101190476186,0.29051190476190475
1991,3,31.9,19.53548387096774,14.299999999999999,63.74193548387097,733.74,0.22164784946236557,0.28232123655913977
1991,4,31.93,21.48,19.900000000000002,66.36666666666666,656.05,0.2177069444444444,0.27922500000000006
1991,5,32.225806451612904,22.845161290322583,54.4,68.25806451612904,686.52,0.2962795698924731,0.2912620967741935
1991,6,28.9,22.316666666666666,175.0,79.3,522.62,0.4146708333333333,0.3998583333333333
1991,7,28.141935483870967,21.787096774193547,152.8,80.54838709677419,557.26,0.452260752688172,0.4501693548387097
1991,8,27.135483870967743,21.793548387096774,248.7,84.19354838709677,483.6,0.47357392473118276,0.47096505376344083
1991,9,26.596666666666668,21.053333333333335,193.9,86.36666666666666,417.7,0.4777236111111111,0.48672499999999996
1991,10,26.23548387096774,19.87741935483871,140.0,84.3225806451613,485.32,0.46111155913978485,0.4696989247311828
1991,11,25.71333333333333,18.529999999999998,7.3999999999999995,78.43333333333334,459.92,0.30650277777777774,0.3811819444444444
1991,12,25.93548387096774,18.593548387096774,5.8,76.70967741935483,426.92,0.22631720430107524,0.3237338709677419
1992,1,25.05806451612903,16.361290322580643,49.6,75.3225806451613,515.46,0.2873790322580645,0.35515322580645164
1992,2,29.917241379310347,19.32758620689655,4.7,65.55172413793103,575.48,0.20302442528735629,0.29934482758620684
1992,3,32.116129032258065,20.009677419354837,9.8,61.064516129032256,700.19,0.2042056451612903,0.2824932795698925
1992,4,31.256666666666668,21.259999999999998,80.0,72.8,652.25,0.31033888888888883,0.2995236111111111
1992,5,30.296774193548387,21.874193548387098,163.3,78.29032258064517,649.1,0.40261693548387095,0.3750779569892473
1992,6,27.996666666666666,21.716666666666665,257.4,83.26666666666667,499.33000000000004,0.4615194444444444,0.4560597222222222
1992,7,27.687096774193545,20.97741935483871,154.4,83.12903225806451,551.81,0.45844220430107524,0.4624838709677419
1992,8,26.774193548387096,21.36774193548387,211.9,85.61290322580645,470.54,0.47954435483870966,0.4867809139784946
1992,9,27.223333333333336,20.883333333333333,145.1,84.73333333333333,503.92,0.48034166666666667,0.4842416666666666
1992,10,25.425806451612903,19.903225806451612,389.8,85.45161290322581,406.82,0.467255376344086,0.4730430107526881
1992,11,24.046666666666667,18.39333333333333,12.9,82.23333333333333,425.42,0.36822222222222223,0.40681249999999997
1992,12,25.138709677419353,18.36774193548387,16.5,80.87096774193549,434.68,0.270388440860215,0.334633064516129
1993,1,25.309677419354838,17.216129032258067,4.5,75.70967741935483,486.45,0.21667876344086015,0.2999959677419355
1993,2,28.396428571428572,16.57857142857143,0.1,65.35714285714286,604.6899999999999,0.20042113095238093,0.28672023809523806
1993,3,30.216129032258067,19.358064516129033,36.0,68.64516129032258,691.46,0.25327822580645154,0.2938266129032258
1993,4,32.84,21.970000000000002,29.6,62.6,676.5,0.21950416666666664,0.2866402777777778
1993,5,30.448387096774194,22.358064516129033,162.8,75.83870967741936,599.71,0.3877956989247312,0.36240322580645157
1993,6,28.923333333333336,21.793333333333333,111.39999999999999,81.8,579.01,0.442,0.4351458333333333
1993,7,27.87741935483871,21.393548387096775,183.20000000000002,82.96774193548387,550.23,0.46016263440860217,0.45431854838709673
1993,8,27.312903225806455,21.258064516129032,165.6,82.7741935483871,533.28,0.4653239247311827,0.4676599462365591
1993,9,26.746666666666666,20.706666666666667,180.1,85.5,456.87,0.4801930555555555,0.48466388888888884
1993,10,25.93548387096774,20.45483870967742,281.0,85.74193548387096,449.16,0.46092741935483866,0.4691505376344086
1993,11,26.46333333333333,19.183333333333334,94.7,80.5,466.59,0.34749583333333334,0.4101111111111111
1993,12,23.09032258064516,17.87741935483871,49.7,83.70967741935483,345.66,0.4279489247311828,0.44822311827956984
1994,1,25.712903225806453,16.725806451612904,1.7,77.06451612903226,545.27,0.26375,0.358510752688172
1994,2,30.164285714285715,19.25357142857143,4.800000000000001,67.85714285714286,578.02,0.2054494047619047,0.30606845238095237
