year,actual,predicted,error_%
2018,2.51,2.1877217,12.839771741889855
2019,2.29,2.1940641,4.1893388506627
2020,2.43,2.3982375,1.3071001311879165
2021,2.47,2.2628074,8.388365618130464
2022,2.62,2.2991805,12.245018791606412
2023,2.56,2.4455373,4.471198096871378
2024,2.52,2.4828496,1.4742223043290403
